hour,DEWP,TEMP,PRES,Iws,Is,Ir,pm2.5
0,-16,-4,1020,1.79,0,0,129
2,-11,-5,1021,3.57,0,0,159
3,-7,-5,1022,5.36,1,0,181
4,-7,-5,1022,6.25,2,0,138
6,-7,-6,1023,8.93,4,0,105
8,-8,-6,1024,12.51,0,0,120
9,-7,-5,1025,14.3,0,0,132
11,-8,-5,1026,20.56,0,0,152
12,-8,-5,1026,23.69,0,0,148
14,-9,-5,1025,31.73,0,0,158
15,-9,-5,1025,35.75,0,0,154
16,-9,-5,1026,37.54,0,0,159
17,-8,-5,1027,39.33,0,0,164
18,-8,-5,1027,42.46,0,0,170
19,-8,-5,1028,44.25,0,0,149
21,-7,-5,1027,49.17,1,0,164
22,-8,-6,1028,52.3,2,0,156
23,-8,-6,1027,55.43,3,0,126
1,-8,-6,1026,61.69,5,0,63
2,-8,-7,1026,65.71,6,0,65
3,-8,-7,1025,68.84,7,0,55
4,-8,-7,1024,72.86,8,0,65
5,-9,-8,1024,76.88,9,0,83
6,-10,-8,1024,80.9,10,0,91
7,-10,-9,1024,84.92,11,0,86
8,-10,-9,1024,89.84,12,0,82
11,-11,-9,1022,102.8,16,0,98
12,-11,-9,1021,105.93,17,0,107
13,-11,-9,1020,111.74,19,0,90
17,-11,-9,1020,127.84,23,0,70
19,-11,-9,1022,1.78,25,0,53
20,-10,-9,1022,4.02,26,0,71
22,-11,-9,1023,11.17,0,0,76
23,-12,-11,1023,14.3,0,0,73
0,-14,-12,1023,16.09,0,0,79
1,-16,-9,1023,21.9,0,0,58
3,-18,-11,1024,39.78,0,0,26
4,-19,-11,1025,48.72,0,0,28
5,-20,-12,1026,55.87,0,0,26
6,-21,-12,1027,64.81,0,0,20
7,-21,-13,1027,73.75,0,0,29
8,-22,-13,1028,80.9,0,0,26
10,-22,-12,1030,100.56,0,0,27
11,-23,-12,1031,108.61,0,0,25
12,-21,-11,1030,117.55,0,0,29
14,-21,-10,1030,136.32,0,0,28
15,-21,-9,1030,145.26,0,0,29
16,-21,-9,1031,152.41,0,0,30
18,-23,-11,1032,165.37,0,0,28
19,-21,-12,1033,171.18,0,0,26
20,-24,-12,1034,180.12,0,0,31
21,-24,-13,1034,187.27,0,0,33
